0	0.45011
0.5	0.481932
1	0.521354
1.5	0.496806
2	0.460205
2.5	0.383911
3	0.475404
3.5	0.463409
4	0.422364
4.5	0.44462
5	0.467683
5.5	0.469577
6	0.443787
6.5	0.454617
7	0.499596
7.5	0.533322
8	0.571744
8.5	0.601299
9	0.632441
9.5	0.615388
10	0.616378
10.5	0.55613
11	0.563898
11.5	0.544613
12	0.571268
12.5	0.551195
13	0.555944
13.5	0.334016
14	0.381756
14.5	0.389557
15	0.403978
15.5	0.366488
16	0.317841
16.5	0.31631
17	0.336955
17.5	0.358835
18	0.358669
18.5	0.395508
19	0.434754
19.5	0.407697
20	0.440456
20.5	0.497302
21	0.560084
21.5	0.665729
22	0.560786
22.5	0.575655
23	0.61886
23.5	0.645591
24	0.594197
24.5	0.614143
25	0.58221
25.5	0.561028
26	0.565638
26.5	0.5648
27	0.567376
27.5	0.55454
28	0.557968
28.5	0.547744
29	0.537838
29.5	0.534358
30	0.559325
30.5	0.544048
31	0.548188
31.5	0.545193
32	0.509818
32.5	0.494392
33	0.5066
33.5	0.558687
34	0.548151
34.5	0.516462
35	0.53065
35.5	0.530715
36	0.547686
36.5	0.556833
37	0.393539
37.5	0.305579
38	0.3047
38.5	0.297661
39	0.355674
39.5	0.395946
40	0.409431
40.5	0.401351
41	0.380856
41.5	0.359434
42	0.325126
42.5	0.325527
43	0.356375
43.5	0.351006
44	0.379058
44.5	0.412607
45	0.428688
45.5	0.421768
46	0.426197
46.5	0.427491
47	0.447114
47.5	0.443931
48	0.4311
48.5	0.4409
49	0.43321
49.5	0.433313
50	0.44259
50.5	0.446893
51	0.454486
51.5	0.424269
52	0.428323
52.5	0.416938
53	0.379393
53.5	0.35993
54	0.358015
54.5	0.332394
55	0.342764
55.5	0.339099
56	0.339473
56.5	0.360287
57	0.3694
57.5	0.375181
58	0.340558
58.5	0.315587
59	0.33611
59.5	0.331067
60	0.325133
60.5	0.335435
61	0.33376
61.5	0.323104
62	0.314656
62.5	0.309327
63	0.312506
63.5	0.278603
64	0.223473
64.5	0.232999
65	0.226326
65.5	0.23243
66	0.242638
66.5	0.233822
67	0.226625
67.5	0.210498
68	0.211659
68.5	0.23597
69	0.234231
69.5	0.223798
70	0.237354
70.5	0.260679
71	0.249451
71.5	0.251622
72	0.287204
72.5	0.284493
73	0.289446
73.5	0.310586
74	0.302975
74.5	0.2938
75	0.283807
75.5	0.290729
76	0.269572
76.5	0.300846
77	0.284004
77.5	0.3029
78	0.315308
78.5	0.3238
79	0.333683
79.5	0.34301
80	0.349375
80.5	0.366652
81	0.371719
81.5	0.347378
82	0.361294
82.5	0.35489
83	0.353554
83.5	0.358124
84	0.334492
84.5	0.330266
85	0.304494
85.5	0.326297
86	0.30589
86.5	0.392026
87	0.407954
87.5	0.395476
88	0.362748
88.5	0.365949
89	0.38001
89.5	0.349457
90	0.353051
90.5	0.421497
91	0.420877
91.5	0.33478
92	0.322077
92.5	0.232493
93	0.238905
93.5	0.271802
94	0.295331
94.5	0.245827
95	0.321057
95.5	0.361644
96	0.419502
96.5	0.416543
97	0.389266
97.5	0.394231
98	0.397281
98.5	0.41064
99	0.424135
99.5	0.3251
100	0.461489
100.5	0.449094
101	0.45492
101.5	0.326685
102	0.357847
102.5	0.392843
103	0.443294
103.5	0.443941
104	0.455176
104.5	0.451701
105	0.378762
105.5	0.366078
106	0.372771
106.5	0.392096
107	0.412037
107.5	0.410543
108	0.385604
108.5	0.331068
109	0.353816
109.5	0.373898
110	0.378972
110.5	0.336917
111	0.357912
111.5	0.372925
112	0.356208
112.5	0.364764
113	0.391673
113.5	0.383677
114	0.384533
114.5	0.393579
115	0.340538
115.5	0.365144
116	0.413427
116.5	0.402459
117	0.369943
117.5	0.368157
118	0.427142
118.5	0.450257
119	0.464034
119.5	0.410453
120	0.38775
120.5	0.394681
121	0.361832
121.5	0.388448
122	0.360503
122.5	0.427403
123	0.403342
123.5	0.423827
124	0.449408
124.5	0.431995
125	0.502298
125.5	0.64
126	0.63064
126.5	0.632964
127	0.53084
127.5	0.685371
128	0.564845
128.5	0.533417
129	0.492483
129.5	0.417608
130	0.3898
130.5	0.417983
131	0.383283
131.5	0.356482
132	0.265817
132.5	0.282283
133	0.28665
133.5	0.343383
134	0.376678
134.5	0.351273
135	0.38435
135.5	0.417827
136	0.418455
136.5	0.495318
137	0.496625
137.5	0.514273
138	0.4681
138.5	0.42565
139	0.416491
139.5	0.445409
140	0.409683
140.5	0.5043
141	0.4255
141.5	0.3934
142	0.442667
142.5	0.455967
143	0.444067
143.5	0.4402
144	0.411133
144.5	0.424867
145	0.492633
145.5	0.469767
146	0.46335
146.5	0.425633
147	0.358733
147.5	0.453367
148	0.4042
148.5	0.408467
149	0.471633
149.5	0.418733
150	0.4602
150.5	0.4016
151	0.28108
151.5	0.362433
152	0.39502
152.5	0.39124
153	0.379317
153.5	0.36724
154	0.421433
154.5	0.39878
155	0.400717
155.5	0.4114
156	0.39399
156.5	0.42642
157	0.422748
157.5	0.392943
158	0.438352
158.5	0.444524
159	0.426643
159.5	0.36157
160	0.423245
160.5	0.399733
161	0.43809
161.5	0.478443
162	0.490248
162.5	0.44493
163	0.455255
163.5	0.44432
164	0.386427
164.5	0.36985
165	0.4636
165.5	0.447883
166	0.4881
166.5	0.473767
167	0.434178
167.5	0.407778
168	0.444787
168.5	0.424633
169	0.366233
171	0.507
171.5	0.503911
172	0.452911
172.5	0.459263
173	0.432833
173.5	0.460556
174	0.460844
174.5	0.393075
175	0.420822
175.5	0.400767
176	0.394467
